2020-05-27 14:54:15,746 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(0,123,255,.5)` at 6:43126, unknown property.
2020-05-27 14:54:15,747 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(0,123,255,.5)` at 6:43664, unknown property.
2020-05-27 14:54:15,747 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(108,117,125,.5)` at 6:43908, unknown property.
2020-05-27 14:54:15,748 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(108,117,125,.5)` at 6:44464, unknown property.
2020-05-27 14:54:15,748 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(40,167,69,.5)` at 6:44702, unknown property.
2020-05-27 14:54:15,749 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(40,167,69,.5)` at 6:45240, unknown property.
2020-05-27 14:54:15,750 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(23,162,184,.5)` at 6:45464, unknown property.
2020-05-27 14:54:15,751 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(23,162,184,.5)` at 6:45979, unknown property.
2020-05-27 14:54:15,751 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(255,193,7,.5)` at 6:46219, unknown property.
2020-05-27 14:54:15,752 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(255,193,7,.5)` at 6:46760, unknown property.
2020-05-27 14:54:15,753 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(220,53,69,.5)` at 6:46992, unknown property.
2020-05-27 14:54:15,754 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(220,53,69,.5)` at 6:47522, unknown property.
2020-05-27 14:54:15,754 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(248,249,250,.5)` at 6:47753, unknown property.
2020-05-27 14:54:15,755 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(248,249,250,.5)` at 6:48280, unknown property.
2020-05-27 14:54:15,756 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(52,58,64,.5)` at 6:48506, unknown property.
2020-05-27 14:54:15,757 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(52,58,64,.5)` at 6:49019, unknown property.
2020-05-27 14:54:15,757 weasyprint   WARNING  Ignored `box-shadow:none` at 6:49235, unknown property.
2020-05-27 14:54:15,757 weasyprint   WARNING  Ignored `pointer-events:none` at 6:49303, unknown property.
2020-05-27 14:54:15,759 weasyprint   WARNING  Expected a media type, got (prefers-reduced-motion:reduce)
2020-05-27 14:54:15,759 weasyprint   WARNING  Invalid media type " (prefers-reduced-motion:reduce)" the whole @media rule was ignored at 6:49734.
2020-05-27 14:54:15,759 weasyprint   WARNING  Expected a media type, got (prefers-reduced-motion:reduce)
2020-05-27 14:54:15,759 weasyprint   WARNING  Invalid media type " (prefers-reduced-motion:reduce)" the whole @media rule was ignored at 6:49940.
2020-05-27 14:54:15,761 weasyprint   WARNING  Expected a media type, got (min-width:576px)
2020-05-27 14:54:15,761 weasyprint   WARNING  Invalid media type " (min-width:576px)" the whole @media rule was ignored at 6:50730.
2020-05-27 14:54:15,761 weasyprint   WARNING  Expected a media type, got (min-width:768px)
2020-05-27 14:54:15,761 weasyprint   WARNING  Invalid media type " (min-width:768px)" the whole @media rule was ignored at 6:50839.
2020-05-27 14:54:15,761 weasyprint   WARNING  Expected a media type, got (min-width:992px)
2020-05-27 14:54:15,761 weasyprint   WARNING  Invalid media type " (min-width:992px)" the whole @media rule was ignored at 6:50948.
2020-05-27 14:54:15,761 weasyprint   WARNING  Expected a media type, got (min-width:1200px)
2020-05-27 14:54:15,761 weasyprint   WARNING  Invalid media type " (min-width:1200px)" the whole @media rule was ignored at 6:51057.
2020-05-27 14:54:15,765 weasyprint   WARNING  Ignored `pointer-events:none` at 6:53164, unknown property.
2020-05-27 14:54:15,766 weasyprint   WARNING  Ignored `display:-ms-inline-flexbox` at 6:53485, invalid value.
2020-05-27 14:54:15,767 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:53894, invalid value.
2020-05-27 14:54:15,771 weasyprint   WARNING  Ignored `pointer-events:none` at 6:55854, unknown property.
2020-05-27 14:54:15,772 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:55905, invalid value.
2020-05-27 14:54:15,775 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:57279, invalid value.
2020-05-27 14:54:15,776 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:57696, invalid value.
2020-05-27 14:54:15,779 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:58340, invalid value.
2020-05-27 14:54:15,780 weasyprint   WARNING  Ignored `height:calc(1.5em + 1rem + 2px)` at 6:58785, invalid value.
2020-05-27 14:54:15,781 weasyprint   WARNING  Ignored `height:calc(1.5em + .5rem + 2px)` at 6:59218, invalid value.
2020-05-27 14:54:15,785 weasyprint   WARNING  Ignored `display:-ms-inline-flexbox` at 6:60628, invalid value.
2020-05-27 14:54:15,785 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(0,123,255,.25)` at 6:60962, unknown property.
2020-05-27 14:54:15,787 weasyprint   WARNING  Ignored `pointer-events:none` at 6:61682, unknown property.
2020-05-27 14:54:15,789 weasyprint   WARNING  Invalid or unsupported selector '.custom-checkbox .custom-control-input:indeterminate~.custom-control-label::before', ('Unknown pseudo-class', 'indeterminate')
2020-05-27 14:54:15,789 weasyprint   WARNING  Invalid or unsupported selector '.custom-checkbox .custom-control-input:indeterminate~.custom-control-label::after', ('Unknown pseudo-class', 'indeterminate')
2020-05-27 14:54:15,790 weasyprint   WARNING  Invalid or unsupported selector '.custom-checkbox .custom-control-input:disabled:indeterminate~.custom-control-label::before', ('Unknown pseudo-class', 'indeterminate')
2020-05-27 14:54:15,791 weasyprint   WARNING  Ignored `pointer-events:all` at 6:63455, unknown property.
2020-05-27 14:54:15,791 weasyprint   WARNING  Ignored `top:calc(.25rem + 2px)` at 6:63538, invalid value.
2020-05-27 14:54:15,791 weasyprint   WARNING  Ignored `left:calc(-2.25rem + 2px)` at 6:63561, invalid value.
2020-05-27 14:54:15,791 weasyprint   WARNING  Ignored `width:calc(1rem - 4px)` at 6:63587, invalid value.
2020-05-27 14:54:15,791 weasyprint   WARNING  Ignored `height:calc(1rem - 4px)` at 6:63610, invalid value.
2020-05-27 14:54:15,792 weasyprint   WARNING  Expected a media type, got (prefers-reduced-motion:reduce)
2020-05-27 14:54:15,792 weasyprint   WARNING  Invalid media type " (prefers-reduced-motion:reduce)" the whole @media rule was ignored at 6:64112.
2020-05-27 14:54:15,793 weasyprint   WARNING  Ignored `height:calc(1.5em + .75rem + 2px)` at 6:64541, invalid value.
2020-05-27 14:54:15,793 weasyprint   WARNING  Ignored `appearance:none` at 6:65018, unknown property.
2020-05-27 14:54:15,794 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(0,123,255,.25)` at 6:65086, unknown property.
2020-05-27 14:54:15,794 weasyprint   WARNING  Ignored `text-shadow:0 0 0 #495057` at 6:65465, unknown property.
2020-05-27 14:54:15,795 weasyprint   WARNING  Invalid or unsupported selector '.custom-select:-moz-focusring', ('Unknown pseudo-class', '-moz-focusring')
2020-05-27 14:54:15,795 weasyprint   WARNING  Ignored `height:calc(1.5em + .5rem + 2px)` at 6:65509, invalid value.
2020-05-27 14:54:15,795 weasyprint   WARNING  Ignored `height:calc(1.5em + 1rem + 2px)` at 6:65638, invalid value.
2020-05-27 14:54:15,795 weasyprint   WARNING  Ignored `height:calc(1.5em + .75rem + 2px)` at 6:65808, invalid value.
2020-05-27 14:54:15,795 weasyprint   WARNING  Ignored `height:calc(1.5em + .75rem + 2px)` at 6:65916, invalid value.
